Long,Lat,Chlor,Pic,Poc,Sst,MM,IILO,IILA,Missing_02_2019,Chlor_log,Position,TrainTest
18.541666,40.458332,0.6924979,-0.19115539,0.9947278,-0.8974271,0,42,114,0.35714285714285715,-0.36745006,18.54166640.458332,Train
17.791666,31.708334,0.42020082,-0.19482233,0.47749788,-0.96632785,0,87,111,0.35714285714285715,-0.8670225,17.79166631.708334,Train
17.791666,32.208332,0.54591376,-0.19115539,0.75286025,-0.92258126,0,81,111,0.4642857142857143,-0.6052943,17.79166632.208332,Train
17.541666,37.958332,0.20212172,-0.106992826,-0.16995929,-0.7519702,0,336,108,0.5357142857142857,-1.5988852,17.54166637.958332,Train
17.541666,38.708332,0.12673396,-0.07405846,-0.4341567,-0.8886778,0,327,108,0.5357142857142857,-2.0656652,17.54166638.708332,Train
17.541666,40.208332,0.2175639,-0.19115539,-0.13647357,-1.0494459,0,309,108,0.5357142857142857,-1.5252627,17.54166640.208332,Train
17.791666,32.458332,0.53015465,-0.19115539,0.7193654,-0.9083637,0,78,111,0.4642857142857143,-0.6345865,17.79166632.458332,Train
17.791666,32.708332,0.59824246,-0.19115539,0.8607667,-0.92258126,0,75,111,0.4642857142857143,-0.51375914,17.79166632.708332,Train
17.791666,32.958332,0.5148852,-0.19115539,0.6858797,-0.93461156,0,72,111,0.5,-0.6638113,17.79166632.958332,Train
17.791666,33.208332,0.58336323,-0.18383512,0.8719317,-0.9258623,0,69,111,0.42857142857142855,-0.5389452,17.79166633.208332,Train
17.791666,33.458332,0.529355,-0.19115539,0.7416953,-0.9466419,0,66,111,0.35714285714285715,-0.636096,17.79166633.458332,Train
17.791666,33.708332,0.41525987,-0.19115539,0.518433,-0.9542975,0,63,111,0.35714285714285715,-0.87885076,17.79166633.708332,Train
17.791666,33.958332,0.36095765,-0.19482233,0.4068018,-0.9411735,0,60,111,0.32142857142857145,-1.0189947,17.79166633.958332,Train
17.791666,34.208332,0.4740444,-0.041124094,0.66354984,-0.8974271,0,57,111,0.32142857142857145,-0.74645424,17.79166634.208332,Train
17.791666,34.458332,0.86300206,-0.18750207,1.671955,-0.9488293,0,54,111,0.35714285714285715,-0.1473382,17.79166634.458332,Train
17.791666,34.958332,1.6396363,0.07597283,2.7808266,-0.89961445,0,48,111,0.42857142857142855,0.4944744,17.79166634.958332,Train
17.791666,35.208332,1.4349014,-0.18750207,3.2906072,-0.90070814,0,45,111,0.42857142857142855,0.36109608,17.79166635.208332,Train
17.791666,35.458332,0.8731085,0.1235341,2.0291784,-0.9105511,0,42,111,0.5,-0.13569546,17.79166635.458332,Train
17.791666,35.708332,2.5239108,-0.18383512,5.664632,-0.90727,0,39,111,0.42857142857142855,0.9258096,17.79166635.708332,Train
17.791666,35.958332,2.1641297,0.3906623,4.8125086,-0.91383195,0,36,111,0.5357142857142857,0.7720183,17.79166635.958332,Train
17.791666,36.458332,1.1301388,1.5433241,3.6143358,-1.0046058,0,30,111,0.4642857142857143,0.12234042,17.79166636.458332,Train
17.791666,38.458332,3.086764,10.7865925,5.158567,-1.233181,0,6,111,0.5,1.1271234,17.79166638.458332,Train
17.791666,38.708332,0.5905612,2.1727169,1.106359,-0.8493059,0,3,111,0.5,-0.526682,17.79166638.708332,Train
17.791666,38.958332,0.3773904,-0.14724745,0.41796672,-0.7563449,0,0,111,0.4642857142857143,-0.974475,17.79166638.958332,Train
17.541666,31.708334,0.2410561,0.12720104,-0.08065799,-0.48292965,0,411,108,0.5357142857142857,-1.4227256,17.54166631.708334,Train
17.791666,31.958334,0.44860435,-0.19115539,0.600294,-0.96960866,0,84,111,0.39285714285714285,-0.801614,17.79166631.958334,Train
18.541666,40.208332,0.7533668,-0.18750207,1.0393784,-0.8974271,0,45,114,0.25,-0.283203,18.54166640.208332,Train
18.541666,39.708332,1.077429,-0.18750207,1.6235796,-0.9422672,0,51,114,0.25,0.074577704,18.54166639.708332,Train
19.041666,32.458332,0.456669,0.25892484,0.7305304,-0.7596258,0,6,117,0.42857142857142855,-0.7837964,19.04166632.458332,Train
19.041666,32.708332,0.2914206,-0.19482233,0.11284331,-0.6732264,0,3,117,0.42857142857142855,-1.2329876,19.04166632.708332,Train
19.041666,32.958332,0.27153128,-0.19115539,0.04957838,-0.643698,0,0,117,0.39285714285714285,-1.3036779,19.04166632.958332,Train
19.041666,32.208332,0.74628085,1.2505819,1.8803369,-0.86461735,0,9,117,0.35714285714285715,-0.2926533,19.04166632.208332,Train
19.041666,40.208332,0.21311615,-0.12163334,-0.14391384,-0.31231838,0,429,114,0.5357142857142857,-1.545918,19.04166640.208332,Train
